filename,timestamp,status,prediction,confidence,error
0df085ae-c6a4-433c-9090-3d60835f27cb_base64.txt,2024-12-11 13:26:23,success,valid,88.03,
0e9ce9e3-820a-470c-b4b3-0899a630befc_base64.txt,2024-12-11 13:26:23,success,valid,91.9,
0e66d543-a215-4d05-a107-37f7feaf3ddf_DorsoValido_0.84_base64.txt,2024-12-11 13:26:23,success,valid,93.12,
0e983f71-7627-4c65-9924-b57809121be7_DorsoValido_0.80_base64.txt,2024-12-11 13:26:23,success,valid,82.01,
0e5c755a-6d3f-40f9-82d8-d69fea8e49d5_FrenteValido_0.95_base64.txt,2024-12-11 13:26:24,success,anomaly,79.67,
0e3b91a6-296e-4f07-adb8-bb5e31a6f488_base64.txt,2024-12-11 13:26:24,success,valid,76.63,
0e378e99-f564-4d81-945a-c7bd0b020624_FrenteValido_0.94_base64.txt,2024-12-11 13:26:24,success,valid,88.95,
0df085ae-c6a4-433c-9090-3d60835f27cb_FrenteValido_0.84_base64.txt,2024-12-11 13:26:24,success,valid,98.37,
0e66d543-a215-4d05-a107-37f7feaf3ddf_base64.txt,2024-12-11 13:26:24,success,valid,96.83,
0e3b91a6-296e-4f07-adb8-bb5e31a6f488_DorsoValido_0.64_base64.txt,2024-12-11 13:26:24,success,valid,79.33,
0e685648-8938-4e6e-b290-83cc0df932b4_base64.txt,2024-12-11 13:26:24,success,valid,98.78,
0e9ce9e3-820a-470c-b4b3-0899a630befc_FrenteValido_0.94_base64.txt,2024-12-11 13:26:24,success,valid,94.29,
0e378e99-f564-4d81-945a-c7bd0b020624_base64.txt,2024-12-11 13:26:25,success,valid,66.67,
0e5c755a-6d3f-40f9-82d8-d69fea8e49d5_base64.txt,2024-12-11 13:26:25,success,valid,88.44,
0dc61cdb-9077-49ba-b773-487d9d956ec9_FrenteValido_0.94_base64.txt,2024-12-11 13:26:25,success,valid,99.36,
0e983f71-7627-4c65-9924-b57809121be7_base64.txt,2024-12-11 13:26:25,success,valid,88.83,
